"term","Value","p-value"
"cg08258224_gctof_4",0.00119908486927606,0.0305746826758519
"cg13938959_gctof_1",0.0158231807900825,0.0559771370608787
"cg08258224_gctof_1",0.0143585597854369,0.0812867787068745
"cg21870274_gctof_3",0.00459015130723675,0.110894156303963
"cg21870274_gctof_2",-0.000852424748201174,0.138130499499236
"cg08258224_gctof_3",0.00228402687290649,0.159105684112374
"cg18147296_gctof_4",0.000697100378381814,0.169299844495586
"cg21870274_gctof_1",0.0193279004343889,0.186671844644461
"cg18147296_gctof_2",0.000382581500166101,0.195781743326995
"cg16619049_gctof_1",0.0152191988478878,0.327196040793362
"cg21870274_gctof_4",0.000913016607509828,0.354867515599353
"cg18147296_gctof_3",0.00136609970058138,0.356715999266505
"cg16619049_gctof_5",0.0150813982803924,0.364532365231112
"cg18147296_gctof_1",0.0056876725114594,0.450206178174838
"cg21870274_gctof_5",0.00971394555062357,0.535681758015407
"cg16619049_gctof_4",-0.000635779627017925,0.543727290303518
"cg08258224_gctof_2",-0.000193170461646264,0.551179567867194
"cg08258224_gctof_5",0.00440409019250184,0.61808081030958
"cg13938959_gctof_4",0.000264112246631261,0.636620113499589
"cg13938959_gctof_5",-0.00395152505583819,0.656420464800307
"cg13938959_gctof_3",0.000704617106712894,0.66608442214206
"cg16619049_gctof_2",-0.00022165494618271,0.716578686952499
"cg18147296_gctof_5",-0.0021038614911228,0.794254423854037
"cg16619049_gctof_3",-0.000337191705027321,0.912223838581527
"cg13938959_gctof_2",-2.74593440285203e-05,0.932868434665186
