"term","Value","p-value"
"cg18147296_gctof_4",0.00132018960958485,0.00437815566272635
"cg16619049_gctof_4",0.00201551764360681,0.0479820223617143
"cg08258224_gctof_2",0.0005800056933118,0.100208766300567
"cg06325811_gctof_5",-0.012274559714093,0.125785594829906
"cg16619049_gctof_5",-0.0242909521782687,0.127809538914284
"cg16619049_gctof_1",0.0272012539241377,0.149887824250138
"cg08258224_gctof_4",0.000993201188039375,0.153072583011718
"cg16619049_gctof_3",0.00391593098902203,0.154104866609081
"cg18147296_gctof_5",-0.0089609302999613,0.218676360231993
"cg16619049_gctof_2",0.000624495805877371,0.228719870731432
"cg21870274_gctof_4",0.00120617617179856,0.244166491464038
"cg06325811_gctof_4",0.00059539003281651,0.246285425147731
"cg08258224_gctof_1",0.00780907165275934,0.544393558111794
"cg18147296_gctof_3",0.000735652781553575,0.558032922205343
"cg08258224_gctof_5",-0.00605546721519193,0.577861092734415
"cg08258224_gctof_3",0.000967645070511284,0.605580633647378
"cg18147296_gctof_1",0.0042157416888031,0.625420573940366
"cg21870274_gctof_5",-0.00722016257546752,0.655873043277479
"cg06325811_gctof_2",-8.34548026295847e-05,0.749262303262894
"cg21870274_gctof_1",0.00580879478083187,0.76206532258581
"cg06325811_gctof_1",-0.00230397681605982,0.808633200971244
"cg18147296_gctof_2",4.0185452426946e-05,0.865403624285123
"cg06325811_gctof_3",-0.000200412115661682,0.884837721362481
"cg21870274_gctof_3",0.000261350608531098,0.925385663800434
"cg21870274_gctof_2",4.54029458905484e-05,0.931300183244213
