"term","Value","p-value"
"cg00000109_gctof_4",0.000710418939445761,0.0191744577751147
"cg00000236_gctof_3",0.00407483099114736,0.0282680563857873
"cg00000029_gctof_3",0.00326103818851248,0.0614757384155562
"cg00000363_gctof_5",-0.0056431585748662,0.102200818640778
"cg00000029_gctof_1",0.0130307298959109,0.176862579855989
"cg00000363_gctof_4",-0.00026629558286241,0.223603288757903
"cg00000236_gctof_4",0.000782866213545585,0.227411533743854
"cg00000109_gctof_2",0.000201503528713698,0.238134016840223
"cg00000236_gctof_5",-0.0116524252934189,0.255162208250227
"cg00000292_gctof_1",0.00829400700342115,0.262688603350172
"cg00000363_gctof_2",0.000135257837801686,0.271642161782902
"cg00000292_gctof_3",0.00137839691251696,0.303365960433997
"cg00000109_gctof_1",0.00462608251231819,0.337047576097089
"cg00000236_gctof_1",0.00842197626949355,0.413030988867009
"cg00000363_gctof_3",0.000420473866180679,0.503001850058481
"cg00000236_gctof_2",0.000224162366668876,0.538916613807447
"cg00000029_gctof_5",-0.00538857404163394,0.575046900550074
"cg00000109_gctof_3",0.000482706100928937,0.579723789304463
"cg00000029_gctof_2",-0.000177475038592955,0.604127605071371
"cg00000292_gctof_4",-0.000202993067740359,0.663886702630917
"cg00000029_gctof_4",0.000250854092687024,0.680318969268516
"cg00000363_gctof_1",-0.00136168051852608,0.694905139307476
"cg00000292_gctof_5",-0.000923506902603212,0.90035503225726
"cg00000292_gctof_2",-2.79116197403578e-05,0.915373181589694
"cg00000109_gctof_5",-5.03547120472461e-05,0.991628129369081
