"term","Value","p-value"
"cg16619049_hilic_5",-0.00775951481307517,0.0139007904862826
"cg21870274_hilic_4",-0.0155248042775024,0.031030630215264
"cg16619049_hilic_1",-2.21042885139851e-05,0.0331327957902832
"cg08258224_hilic_5",-0.00323361531300815,0.0542720669765139
"cg08258224_hilic_4",0.0075943839259939,0.0616384452399819
"cg13938959_hilic_1",-1.01343302386592e-05,0.0675660022655103
"cg08258224_hilic_2",0.0542239934034483,0.0772067708170955
"cg08258224_hilic_3",0.00637244601585233,0.132196034520064
"cg21870274_hilic_3",-0.0095761167883353,0.20204637215867
"cg16619049_hilic_4",-0.00953697161479214,0.212482374195373
"cg21870274_hilic_1",1.13094644932733e-05,0.248528823665492
"cg13938959_hilic_4",0.00425599658308749,0.297573021074938
"cg16619049_hilic_3",-0.00565140525886517,0.478107173974795
"cg18147296_hilic_5",-0.000957886656468664,0.533702613183143
"cg16619049_hilic_2",0.035518222629135,0.538810435470284
"cg08258224_hilic_1",3.19535185291342e-06,0.563532711793166
"cg18147296_hilic_1",-2.58765492925847e-06,0.60893238464141
"cg18147296_hilic_4",-0.00157341703844649,0.672537011523855
"cg21870274_hilic_5",0.0011878143991722,0.690649493979015
"cg13938959_hilic_3",0.00165247238468797,0.697762501822088
"cg13938959_hilic_5",0.00060678319926105,0.719638267772676
"cg18147296_hilic_3",-0.00103928845899298,0.788540999773903
"cg18147296_hilic_2",-0.00687882526074034,0.806650346906186
"cg21870274_hilic_2",0.00651517511545388,0.904837948009494
"cg13938959_hilic_2",0.00200812083484111,0.948126557096133
