"term","Value","p-value"
"cg08258224_hilic_2",0.0825147565604915,0.0151972767518957
"cg18147296_hilic_4",0.00755547809498495,0.0181150285998554
"cg21870274_hilic_5",-0.00589052150961247,0.0339050736076865
"cg06325811_hilic_2",0.0518580181247659,0.0389614451397339
"cg21870274_hilic_3",0.0146703738193549,0.0542706780273776
"cg08258224_hilic_5",-0.00298382593927449,0.110323377530471
"cg06325811_hilic_3",-0.00563844730540816,0.136109838496587
"cg16619049_hilic_2",0.0721731550050068,0.154504834318356
"cg16619049_hilic_5",0.00389275153631942,0.161202040463779
"cg08258224_hilic_4",0.00613169240721539,0.197815559830166
"cg21870274_hilic_4",0.00831268375924772,0.241031051398539
"cg16619049_hilic_4",-0.00771140768255423,0.275985011626782
"cg08258224_hilic_1",-7.91433729452641e-06,0.286989469502436
"cg21870274_hilic_2",-0.0535110156768432,0.292411643610176
"cg16619049_hilic_3",-0.00788848253862269,0.301008796389659
"cg06325811_hilic_4",-0.00336864204068844,0.337975283566693
"cg06325811_hilic_1",5.00508988571497e-06,0.361606151643205
"cg18147296_hilic_2",0.012813198032919,0.577854889164328
"cg06325811_hilic_5",-0.000494682579321409,0.720373256272653
"cg16619049_hilic_1",3.70461310163561e-06,0.73757334820883
"cg08258224_hilic_3",0.00164594730064636,0.74866024937374
"cg21870274_hilic_1",-2.11747907023434e-06,0.84840029187274
"cg18147296_hilic_1",-8.03962553876658e-07,0.872616112244105
"cg18147296_hilic_3",0.000233451901387278,0.946239591463023
"cg18147296_hilic_5",-5.19076911708251e-06,0.996718918964351
