"term","Value","p-value"
"cg00000029_hilic_2",0.130023639765709,4.60955243271506e-05
"cg00000236_hilic_4",0.0135910416152112,0.00366940459670104
"cg00000236_hilic_5",-0.00424422355682672,0.0242932553075962
"cg00000363_hilic_1",5.08001975246242e-06,0.0245451570092593
"cg00000236_hilic_2",0.0751243070079116,0.0281394231330239
"cg00000292_hilic_1",-9.52152234182729e-06,0.0491983448133783
"cg00000109_hilic_1",-5.05849948825491e-06,0.108028889108909
"cg00000292_hilic_2",0.0378348482460499,0.12554892567785
"cg00000236_hilic_1",-9.59358884359397e-06,0.153300452315999
"cg00000109_hilic_2",0.0208188315777183,0.194721165984402
"cg00000363_hilic_3",-0.00198406888374134,0.231025423819592
"cg00000029_hilic_4",0.0046721235519152,0.287688067442983
"cg00000292_hilic_3",0.00372323438428844,0.294033721536904
"cg00000363_hilic_5",0.000636517813385764,0.316443708629679
"cg00000109_hilic_4",0.0019112734745834,0.384676384897864
"cg00000292_hilic_4",0.00288303583859869,0.394118139202602
"cg00000029_hilic_5",-0.00145561212765004,0.410336749657614
"cg00000109_hilic_3",0.00184059677440504,0.424834335018381
"cg00000363_hilic_2",-0.00868197647991129,0.451843271841868
"cg00000029_hilic_1",-4.37288291910299e-06,0.487408843610723
"cg00000236_hilic_3",-0.00259126123605391,0.59859643044339
"cg00000029_hilic_3",-0.00165483657884744,0.719692476623857
"cg00000109_hilic_5",0.000219521519875534,0.804024935076626
"cg00000363_hilic_4",-0.000326510363184422,0.836289099748648
"cg00000292_hilic_5",0.000126746663211585,0.925819013402147
