"term","Value","p-value"
"cg21870274_lipid_1",1.00969605512873e-11,0.0953421764723419
"cg08258224_lipid_4",-0.529767891092107,0.148855840770731
"cg16619049_lipid_3",-0.33845015728409,0.179664729790194
"cg21870274_lipid_5",1.0527997145378e-06,0.26215401605723
"cg21870274_lipid_3",0.261274730142651,0.272088749971139
"cg08258224_lipid_3",-0.124793423023657,0.352523369276697
"cg13938959_lipid_2",-0.616889854584111,0.355008804182441
"cg13938959_lipid_5",-4.84491893812337e-07,0.362371663780172
"cg08258224_lipid_5",-4.70657311706527e-07,0.374337649089894
"cg21870274_lipid_2",0.934330559371187,0.427596129058708
"cg08258224_lipid_1",-2.57276470433799e-12,0.4518348201863
"cg08258224_lipid_2",-0.487397464573386,0.463216301169898
"cg13938959_lipid_4",0.269958507334101,0.464171015709906
"cg18147296_lipid_5",-3.07235536009229e-07,0.525980817350097
"cg16619049_lipid_5",5.40538606937113e-07,0.587490244507468
"cg16619049_lipid_2",-0.635084235488882,0.611257820535475
"cg18147296_lipid_2",-0.274477185070248,0.651445416021722
"cg18147296_lipid_4",0.139763765590464,0.677347048471076
"cg13938959_lipid_3",-0.0531765408125476,0.693278153933722
"cg16619049_lipid_4",-0.220146796448871,0.74997636920278
"cg16619049_lipid_1",-1.46003558092624e-12,0.820415888061584
"cg13938959_lipid_1",-4.57771945494071e-13,0.893965687375464
"cg21870274_lipid_4",0.044578319879206,0.945436173129028
"cg18147296_lipid_1",1.32621457506764e-13,0.966175391939248
"cg18147296_lipid_3",0.00263260696401823,0.982893858292323
