"term","Value","p-value"
"cg18147296_lipid_4",0.665801185007518,0.0191162567609676
"cg08258224_lipid_3",0.313423373857705,0.0507525365485526
"cg06325811_lipid_2",-0.817131594028535,0.158369490703653
"cg08258224_lipid_4",0.48075737924915,0.256031506088758
"cg06325811_lipid_1",-3.323956578927e-12,0.274848989232908
"cg06325811_lipid_4",-0.338961669643189,0.277835501815851
"cg08258224_lipid_5",6.1693747045648e-07,0.279049143097935
"cg16619049_lipid_1",6.09398513393892e-12,0.320294542046339
"cg18147296_lipid_1",-2.64274996322566e-12,0.341935170433542
"cg16619049_lipid_4",-0.511616657444511,0.416267845850793
"cg06325811_lipid_3",-0.09089332640867,0.44396704205184
"cg16619049_lipid_3",-0.177555226134107,0.457792086464215
"cg18147296_lipid_5",2.61537467169303e-07,0.496188491396515
"cg08258224_lipid_2",0.49957106878365,0.525167349324639
"cg21870274_lipid_1",-3.89824136698487e-12,0.525906955110052
"cg21870274_lipid_3",-0.151076823403124,0.528344735925568
"cg06325811_lipid_5",-2.20761510637653e-07,0.59992571658949
"cg21870274_lipid_4",0.302446627056505,0.631579867264243
"cg18147296_lipid_3",0.0490091757765922,0.65142239795368
"cg16619049_lipid_5",3.28835838892866e-07,0.698098370564017
"cg21870274_lipid_2",-0.29684315830443,0.799860065103564
"cg21870274_lipid_5",1.05649221739389e-07,0.901012847962845
"cg16619049_lipid_2",-0.0870092569220426,0.940657899964301
"cg08258224_lipid_1",-9.05696149000983e-14,0.982503784834115
"cg18147296_lipid_2",0.00540540047685771,0.99186314249154
