"term","Value","p-value"
"cg00000109_lipid_4",0.293999360842693,0.135192593086242
"cg00000109_lipid_3",0.100120184334948,0.16799020305915
"cg00000109_lipid_2",0.445394685442206,0.208449516158597
"cg00000363_lipid_1",-1.58505915222667e-12,0.238544602929834
"cg00000236_lipid_2",-0.797550645113218,0.291301742622971
"cg00000236_lipid_5",-6.17838889756279e-07,0.294553306523097
"cg00000109_lipid_5",2.65575228129045e-07,0.336335167846916
"cg00000236_lipid_1",-3.48494793155213e-12,0.383073898165224
"cg00000029_lipid_2",0.607881192259423,0.390609317841029
"cg00000236_lipid_3",-0.132004139372106,0.394540310747632
"cg00000363_lipid_4",-0.109292705973232,0.439824353168126
"cg00000292_lipid_5",-2.97688457239801e-07,0.483774050647269
"cg00000236_lipid_4",-0.277318374777361,0.509327851497445
"cg00000292_lipid_3",-0.0681292518208072,0.542304450851604
"cg00000029_lipid_4",-0.230759830789984,0.557764853225383
"cg00000029_lipid_5",3.21399825052219e-07,0.560616965734815
"cg00000292_lipid_1",-1.60037801296503e-12,0.578611358616736
"cg00000363_lipid_3",-0.0200319117587514,0.701218971634396
"cg00000292_lipid_4",-0.0825644858288172,0.785294128740949
"cg00000292_lipid_2",-0.144993857743458,0.790273827566882
"cg00000363_lipid_5",-5.13119417582959e-08,0.796051199532589
"cg00000029_lipid_1",8.48637719927848e-13,0.820664715839464
"cg00000363_lipid_2",0.046297579774023,0.855682040403125
"cg00000109_lipid_1",-3.26658868802902e-13,0.861530128766625
"cg00000029_lipid_3",-0.0124392590602925,0.931762600143325
