"term","Value","p-value"
"cg21870274_bc_oxylipin1",-0.402186507855919,6.71011604359413e-06
"cg21870274_bc_oxylipin3",-0.108190495715404,0.00354163096059438
"cg13938959_bc_oxylipin2",-0.0387121294348941,0.00918969123412757
"cg21870274_bc_oxylipin2",-0.0551210724972237,0.0376278736023619
"cg16619049_bc_oxylipin2",-0.0441251569350909,0.0621050236397005
"cg21870274_bc_oxylipin5",-0.0724509921119461,0.0735394531522321
"cg13938959_bc_oxylipin3",-0.0373480449101025,0.0740548219200962
"cg21870274_bc_oxylipin4",-0.0428049249649428,0.0797705721992624
"cg08258224_bc_oxylipin2",-0.0260727445338832,0.0812491885267057
"cg08258224_bc_oxylipin3",-0.0339048911816523,0.106169839594346
"cg18147296_bc_oxylipin5",0.0252951321690037,0.224782209643046
"cg16619049_bc_oxylipin1",-0.0229619348212655,0.3382423965184
"cg13938959_bc_oxylipin5",-0.0208072831911784,0.358896239434591
"cg16619049_bc_oxylipin3",-0.0310160742922491,0.372419096196347
"cg13938959_bc_oxylipin4",0.0106829266519899,0.43529531858632
"cg08258224_bc_oxylipin5",-0.0176745509759264,0.444072286947381
"cg16619049_bc_oxylipin4",-0.0099007128569153,0.551798544929317
"cg18147296_bc_oxylipin1",-0.025445033763737,0.607343585621501
"cg13938959_bc_oxylipin1",-0.0253529378671127,0.614066647049125
"cg08258224_bc_oxylipin1",0.0227824835231454,0.677623028925437
"cg16619049_bc_oxylipin5",-0.00761503685267147,0.709906568044477
"cg18147296_bc_oxylipin2",-0.00395056732454504,0.770031160305282
"cg18147296_bc_oxylipin3",0.00502598354682512,0.790908339111547
"cg18147296_bc_oxylipin4",-0.00035962923641231,0.977025433084528
"cg08258224_bc_oxylipin4",0.000357308925113793,0.979409426764982
