"term","Value","p-value"
"cg16619049_bc_oxylipin2",-0.0714654356070423,0.00398908903826834
"cg16619049_bc_oxylipin1",0.177127882774571,0.0193260838213339
"cg08258224_bc_oxylipin1",0.132177395923656,0.0246822037717306
"cg21870274_bc_oxylipin5",0.0789221763026892,0.0387010597465144
"cg16619049_bc_oxylipin5",-0.075933316287503,0.0423923981594065
"cg16619049_bc_oxylipin3",-0.0695618876350541,0.0484012456226806
"cg08258224_bc_oxylipin5",0.0467287968976022,0.0689222019917463
"cg18147296_bc_oxylipin3",0.0254440168778588,0.111364517159392
"cg06325811_bc_oxylipin2",-0.0191360904547797,0.121099635359925
"cg16619049_bc_oxylipin4",0.0352447214785319,0.164198988468996
"cg21870274_bc_oxylipin4",-0.0357530483609701,0.165575602510671
"cg18147296_bc_oxylipin5",0.0218190788750231,0.206501153938192
"cg06325811_bc_oxylipin1",0.0503633535401314,0.227915768899759
"cg21870274_bc_oxylipin3",0.0387201906825052,0.276588663060088
"cg06325811_bc_oxylipin3",-0.0164691075809878,0.346522651939696
"cg18147296_bc_oxylipin2",0.0106188531509693,0.347706647166816
"cg08258224_bc_oxylipin4",0.0127471204434462,0.46230802956514
"cg08258224_bc_oxylipin3",0.0138017850652616,0.562986438109401
"cg21870274_bc_oxylipin2",0.0145060599677737,0.564343741978127
"cg18147296_bc_oxylipin4",-0.00525444178724627,0.651957462722168
"cg08258224_bc_oxylipin2",-0.00232444645359947,0.890363785134952
"cg06325811_bc_oxylipin4",0.000883442980259924,0.944477682387256
"cg18147296_bc_oxylipin1",0.00254595538856025,0.949139629484574
"cg06325811_bc_oxylipin5",-0.000656014871409697,0.972182657567394
"cg21870274_bc_oxylipin1",-0.000760437131645982,0.99286714540678
