"term","Value","p-value"
"cg00000292_bc_oxylipin1",0.141139560864319,0.00120349549369343
"cg00000236_bc_oxylipin1",0.162624601781537,0.00602616895454774
"cg00000029_bc_oxylipin2",-0.0407951977824241,0.0100659081423777
"cg00000109_bc_oxylipin4",0.0200098605178441,0.0108782327627441
"cg00000236_bc_oxylipin4",0.0365130053768269,0.0269701651227966
"cg00000109_bc_oxylipin5",0.0266514388580309,0.0295740889457736
"cg00000292_bc_oxylipin4",0.0260111064778379,0.0301452759306503
"cg00000029_bc_oxylipin1",0.101276616664923,0.0575066474360466
"cg00000292_bc_oxylipin5",0.0337618369247439,0.0710003829683589
"cg00000363_bc_oxylipin1",0.0316902845240664,0.114262569462653
"cg00000029_bc_oxylipin4",0.0213934042874714,0.164264487690893
"cg00000109_bc_oxylipin1",0.0373753054690171,0.194738372545521
"cg00000236_bc_oxylipin2",-0.0218662209239587,0.198339197041159
"cg00000109_bc_oxylipin3",0.0144729713326714,0.205533887268048
"cg00000236_bc_oxylipin5",0.0321758461402605,0.210979547909996
"cg00000292_bc_oxylipin2",-0.0147493136382367,0.231755171859252
"cg00000292_bc_oxylipin3",0.0193464586114924,0.267706411619565
"cg00000029_bc_oxylipin3",-0.0188449292806042,0.402007508476614
"cg00000109_bc_oxylipin2",0.00593146805096615,0.463019002395742
"cg00000363_bc_oxylipin4",0.0033952876310507,0.548252258442302
"cg00000363_bc_oxylipin5",-0.00453041423481562,0.606012503154038
"cg00000363_bc_oxylipin2",0.002362361435137,0.684625819271715
"cg00000236_bc_oxylipin3",0.00527414810333293,0.826570986672405
"cg00000363_bc_oxylipin3",-0.00105050148552469,0.898445293404294
"cg00000029_bc_oxylipin5",-0.00195609091015062,0.934666256196783
