"term","Value","p-value"
"cg06325811_bc_vitD_3",0.00139431274360753,0.019310473279391
"cg08258224_bc_vitD_5",-2.76119461041876,0.0371665023320501
"cg18147296_bc_vitD_5",-1.66821333045291,0.0608495351736641
"cg06325811_bc_vitD_2",0.00166514071254389,0.108718339233407
"cg16619049_bc_vitD_4",-0.0344763837163575,0.11067404025179
"cg06325811_bc_vitD_4",0.0164739850176403,0.126154758900748
"cg06325811_bc_vitD_1",0.0462258124222716,0.128048914005631
"cg16619049_bc_vitD_1",0.0885492461426437,0.146423847450604
"cg21870274_bc_vitD_4",0.0297913387220068,0.176657372188313
"cg18147296_bc_vitD_1",0.0358853851094167,0.198481730328545
"cg16619049_bc_vitD_2",-0.00268052442753783,0.198636541040043
"cg18147296_bc_vitD_2",-0.00106391077698878,0.264956252214309
"cg16619049_bc_vitD_3",-0.00117543009772089,0.327830219445404
"cg21870274_bc_vitD_5",-1.54130538902882,0.438293725753299
"cg18147296_bc_vitD_3",0.000244863721977989,0.656156474607507
"cg08258224_bc_vitD_4",0.0054973068925841,0.70970347738877
"cg16619049_bc_vitD_5",-0.600776540369165,0.7581932605852
"cg06325811_bc_vitD_5",-0.266988880938712,0.783647548778058
"cg08258224_bc_vitD_2",0.000348263533992939,0.806754848446832
"cg08258224_bc_vitD_1",-0.00965405519373541,0.816688853789381
"cg08258224_bc_vitD_3",0.000181525973584839,0.824723200790524
"cg21870274_bc_vitD_1",-0.0122522592753793,0.844049442457007
"cg21870274_bc_vitD_3",0.000241061543091696,0.844090702436197
"cg21870274_bc_vitD_2",0.000252435343551545,0.905627501967475
"cg18147296_bc_vitD_4",0.00029766579834794,0.976042226316159
