"term","Value","p-value"
"cg00000236_bc_vitD_5",-3.01466198398931,0.0145379991597609
"cg00000292_bc_vitD_1",-0.0542177493095409,0.0727523625974722
"cg00000236_bc_vitD_2",-0.00243132177845671,0.0755099902420555
"cg00000029_bc_vitD_5",-1.89297185197767,0.102230326032989
"cg00000109_bc_vitD_2",-0.00105752263808767,0.102796893402715
"cg00000109_bc_vitD_4",-0.0108497928488443,0.105175792505248
"cg00000292_bc_vitD_5",-1.15597756781623,0.195209592670172
"cg00000292_bc_vitD_3",0.000625180152860853,0.269337763788952
"cg00000363_bc_vitD_4",-0.00493068776553592,0.304828570050455
"cg00000109_bc_vitD_3",-0.000360115607474244,0.332161745674784
"cg00000236_bc_vitD_4",-0.012221038536106,0.38758785593936
"cg00000029_bc_vitD_2",-0.00099867461620078,0.436737262966087
"cg00000029_bc_vitD_4",-0.0100815125067931,0.447263188496408
"cg00000292_bc_vitD_4",0.0073664380615203,0.470862237763927
"cg00000029_bc_vitD_1",0.0210445986991758,0.592136309689227
"cg00000109_bc_vitD_1",0.00892211445198867,0.653017092756604
"cg00000236_bc_vitD_3",0.000296097393589225,0.705691648429389
"cg00000363_bc_vitD_2",-0.000141185827838276,0.761574963303072
"cg00000029_bc_vitD_3",0.000178925056605069,0.807742169381399
"cg00000292_bc_vitD_2",-0.000155210327348608,0.875309834814658
"cg00000236_bc_vitD_1",0.00476196192235248,0.909498212130875
"cg00000363_bc_vitD_5",-0.0352113801190295,0.933206069897666
"cg00000109_bc_vitD_5",-0.0306231034783959,0.958312034268697
"cg00000363_bc_vitD_3",1.38709085563977e-05,0.958474368696079
"cg00000363_bc_vitD_1",-0.000500036905534829,0.971974419923209
